"1","2","3","4","5"
"County","Town","Business","count","staff"
"Brookmere","Birch Hollow","CVS, Drugstore","3","6"
"Brookmere","Birch Hollow","Gas station, Drugstore","1","1"
"Brookmere","Birch Hollow","Grocery, Gas station, Drugstore","3","10"
"Brookmere","Birch Hollow","CVS, Gas station, Drugstore","2","8"
"Brookmere","Birch Hollow","B&B","2","6"
"Brookmere","Birch Hollow","Car wash","1","1"
"Brookmere","Birch Hollow","Barber","6","9"
"Brookmere","Birch Hollow","Restaurant","11","42"
"Brookmere","Birch Hollow","Gym","8","9"
"Brookmere","Birch Hollow","Truck repair shop","3","3"
"Brookmere","Birch Hollow","Bar","16","59"
"Brookmere","Birch Hollow","Grocery","28","80"
"Brookmere","Birch Hollow","Convenience Store","7","18"
"Brookmere","Birch Hollow","Cafe","5","19"
"Brookmere","Birch Hollow","Gas station","2","7"
"Brookmere","Birch Hollow","Grocery, Convenience Store","1","4"
"Brookmere","Birch Hollow","Drugstore","3","3"
"Brookmere","Birch Hollow","Grocery, Drugstore","2","5"
"Brookmere","Arbor Creek","Grocery","1","4"
"Brookmere","Cedarville","B&B","4","13"
"Brookmere","Cedarville","Car wash","1","1"
"Brookmere","Cedarville","Barber","7","23"
"Brookmere","Cedarville","Restaurant","12","46"
"Brookmere","Cedarville","Gym","9","20"
"Brookmere","Cedarville","Truck repair shop","11","28"
"Brookmere","Cedarville","Bar","25","94"
"Brookmere","Cedarville","Grocery","24","35"
"Brookmere","Cedarville","Convenience Store","18","50"
"Brookmere","Cedarville","Caf?","12","32"
"Brookmere","Cedarville","Gas station","7","18"
"Brookmere","Cedarville","Grocery, Gas station","2","2"
"Brookmere","Cedarville","Drugstore","5","11"
"Brookmere","Cedarville","Grocery, Drugstore","1","4"
"Brookmere","Cedarville","Gas station, Drugstore","2","8"
"Brookmere","Cedarville","Grocery, Gas station, Drugstore","1","3"
"Brookmere","Dover Ridge","Barber","1","4"
"Brookmere","Dover Ridge","Restaurant","11","17"
"Brookmere","Dover Ridge","Gym","4","10"
"Brookmere","Dover Ridge","Truck repair shop","2","7"
"Brookmere","Dover Ridge","Ophthalmologist","1","4"
"Brookmere","Dover Ridge","Bar","1","4"
"Brookmere","Dover Ridge","Grocery","11","23"
"Brookmere","Dover Ridge","Convenience Store","7","26"
"Brookmere","Dover Ridge","Caf?","3","3"
"Brookmere","Dover Ridge","Gas station","5","18"
"Brookmere","Dover Ridge","Drugstore","1","4"
"Brookmere","Dover Ridge","Grocery, Drugstore","1","2"
"Brookmere","Dover Ridge","CVS, Drugstore","1","1"
"Brookmere","Elmbrook","B&B","6","16"
"Brookmere","Elmbrook","Car wash","1","3"
"Brookmere","Elmbrook","Barber","8","14"
"Brookmere","Elmbrook","Restaurant","13","41"
"Brookmere","Elmbrook","Gym","12","45"
"Brookmere","Elmbrook","Truck repair shop","36","101"
"Brookmere","Elmbrook","Bar","21","21"
"Brookmere","Elmbrook","Grocery","30","34"
"Brookmere","Elmbrook","Convenience Store","21","23"
"Brookmere","Elmbrook","Cafe","4","15"
"Brookmere","Elmbrook","Gas station","5","5"
"Brookmere","Elmbrook","Grocery, Convenience Store","1","1"
"Brookmere","Elmbrook","Convenience Store, Gas station","4","7"
"Brookmere","Elmbrook","Drugstore","6","9"
"Brookmere","Elmbrook","Grocery, Drugstore","1","3"
"Brookmere","Elmbrook","CVS, Drugstore","1","1"
"Brookmere","Elmbrook","Gas station, Drugstore","1","2"
"Brookmere","Elmbrook","Grocery, CVS, Drugstore","1","4"
"Brookmere","Fairhaven","Car wash","2","3"
"Brookmere","Fairhaven","Barber","2","8"
"Brookmere","Fairhaven","Restaurannt","3","4"
"Brookmere","Fairhaven","Gym","2","4"
"Brookmere","Fairhaven","Truck repair shop","2","5"
"Brookmere","Fairhaven","Bar","12","16"
"Brookmere","Fairhaven","Grocery","8","9"
"Brookmere","Fairhaven","Convenience Store","4","6"
"Brookmere","Fairhaven","Gas station","1","1"
"Brookmere","Fairhaven","Grocery, Convenience Store","1","1"
"Brookmere","Fairhaven","Convenience Store, Gas station","1","2"
"Brookmere","Fairhaven","Grocery, CVS, Drugstore","1","3"
"Brookmere","Fairhaven","Grocery, Gas station, Drugstore","1","4"
"Brookmere","Greenford","B&B","1","2"
"Brookmere","Greenford","Restaurant","1","3"
"Brookmere","Greenford","Gym","3","11"
"Brookmere","Greenford","Truck repair shop","6","16"
"Brookmere","Greenford","Bar","9","25"
"Brookmere","Greenford","Convenience Store","2","2"
